user,contents,public
neo,"Probando, probando... Bienvenidos!!",1
p4n,"Esta app se ve un poco insegura #rajenseconunpentest",1
neo,"javascript:alert(1); --,';'' listo pentest finalizado",0
admin,"Inyecciones básicas? Revisemos la API o algo, por ahí puede haber problemas...",0
neo,"Nadie te preguntó jaja aparte somos la misma persona con distinta cuenta",0
frida,"El pentest es conmigo siono jaja buenas noches viña",1
sombreroblanco,"Hola soy un sombrero jaja #sombrero",1
neo,"@sombreroblanco, podemos mostrar estos posts en el evento?",1
p4n,"+1 (a falta de likes)",1
sombreroblanco,"bueno ya #buenoya",1
neo,"@admin, cuál era la contraseña por defecto para usaurios nuevos?",0
frida,Se vienen cositas,1
admin,"@neo: 'fr1d4.2023!",0
