user,contents,public
neo,"Probando, probando... Bienvenidos!!",1
p4n,"Esta plataforma se ve un poco insegura??? #rajenseconunpentest",1
neo,"probando 123, --,';'' listo pentest finalizado",0
admin,"Sqli?? probemos temas con la API o algo. por ahí puede haber problemas...",0
neo,"Literalmente nadie te preguntó jaja aparte somos la misma persona con distinta cuenta xd",0
frida,"el pentest es conmigo siono jaja buenas noches viña",1
sombreroblanco,"ola soy un sombrero jaja #sombrero",1
neo,"@sombreroblanco, podemos mostrar eso en el evento?",1
p4n,"siii qu buena idea!!!!!!! #exclamacion",1
sombreroblanco,"mmmmmmmm la voy a pensar",1
sombreroblanco,"bueno ya #buenoya",1
frida,siuuuuuuuu,1
